-76.84567,38.96518,"Wendy's-Lanham,MD","9401 Annapolis Rd, Lanham,MD, (301) 731-5681"
-76.82006,39.13126,"Wendy's-Laurel,MD","8850 Gorman Rd, Laurel,MD, (301) 362-1528"
-76.80498,39.1,"Wendy's-Laurel,MD","3549 Russett Grn, Laurel,MD, (301) 604-7794"
-76.65926,38.30443,"Wendy's-Leonardtown,MD","40804 Merchants Ln, Leonardtown,MD, (301) 997-0753"
-76.46714,38.26006,"Wendy's-Lexington Park,MD","21589 Great Mills Rd, Lexington Park,MD, (301) 862-4555"
-76.68065,39.20452,"Wendy's-Linthicum Heights,MD","1589 W Nursery Rd, Linthicum Heights,MD, (410) 850-0694"
-76.65857,39.22447,"Wendy's-Linthicum Heights,MD","714 Nursery Rd, Linthicum Heights,MD, (410) 636-2204"
-76.45625,39.33633,"Wendy's-Middle River,MD","119 Beacon Rd, Middle River,MD, (410) 686-1333"
-76.65419,39.05792,"Wendy's-Millersville,MD","651 Md 3 N, Millersville,MD, (410) 987-6507"
-76.48832,39.39222,"Wendy's-Nottingham,MD","8700 Belair Rd, Nottingham,MD, (410) 529-1609"
-76.4721,39.37643,"Wendy's-Nottingham,MD","8241 Perry Hall Blvd, Nottingham,MD, (410) 933-0998"
-75.1138,38.3386,"Wendy's-Ocean City,MD","12641 Ocean Gtwy, Ocean City,MD, (410) 213-1911"
-75.07388,38.35995,"Wendy's-Ocean City,MD","3101 Coastal Hwy, Ocean City,MD, (410) 289-6020"
-75.05558,38.4285,"Wendy's-Ocean City,MD","12303 Coastal Hwy, Ocean City,MD, (410) 250-2070"
-76.72192,39.10446,"Wendy's-Odenton,MD","1614 Annapolis Rd, Odenton,MD, (410) 551-9659"
-76.7905,39.39834,"Wendy's-Owings Mills,MD","9243 Lakeside Blvd, Owings Mills,MD, (410) 356-3561"
-76.77222,39.41401,"Wendy's-Owings Mills,MD","10109 Reisterstown Rd, Owings Mills,MD, (410) 363-3177"
-76.97668,38.8048,"Wendy's-Oxon Hill,MD","6122 Oxon Hill Rd, Oxon Hill,MD, (301) 567-3575"
-76.52328,39.39465,"Wendy's-Parkville,MD","3001 E Joppa Rd, Parkville,MD, (410) 882-4944"
-76.53186,39.12537,"Wendy's-Pasadena,MD","8098 Edwin Raynor Blvd, Pasadena,MD, (410) 439-0348"
